graph,size_parameter,n_nodes,n_edges,k,algorithm,seeds,selection_estimated_spread,estimated_spread,quality_ratio_to_greedy,runtime_seconds,spread_evaluations,transmitted_candidates
watts_strogatz,70,70,420,6,distributed_m8_q5k,47 63 18 57 69 52,25.23076923076923,18.275,0.9905149051490515,0.426050599955488,756,70
karate,34,34,156,5,random,7 12 27 33 1,17.8,17.325,0.7993079584775086,0.0019132999586872756,1,0
karate,34,34,156,5,degree,33 0 32 1 2,22.725,22.2,1.0242214532871972,0.002084399980958551,1,0
karate,34,34,156,5,pagerank,33 32 0 1 2,22.7,22.625,1.043829296424452,0.0020377999753691256,1,0
karate,34,34,156,5,greedy,33 0 32 1 4,22.975,21.675,1.0,0.24523679999401793,161,0
karate,34,34,156,5,celf,0 33 1 32 5,22.575,22.575,1.041522491349481,0.0935520000057295,78,0
karate,34,34,156,5,distributed_m2_q1k,33 0 1 25 32,21.923076923076923,22.725,1.0484429065743945,0.08935049996944144,193,10
karate,34,34,156,5,distributed_m2_q2k,0 33 27 7 14,22.53846153846154,20.4,0.9411764705882352,0.18200299999443814,343,20
karate,34,34,156,5,distributed_m2_q5k,33 0 32 23 26,23.846153846153847,21.35,0.9850057670126875,0.24367890000576153,469,34
karate,34,34,156,5,distributed_m4_q1k,33 0 31 32 16,23.23076923076923,22.275,1.027681660899654,0.09076479997020215,225,20
karate,34,34,156,5,distributed_m4_q2k,0 33 2 32 16,24.076923076923077,21.925,1.011534025374856,0.1398722999729216,327,34
karate,34,34,156,5,distributed_m4_q5k,33 0 23 25 6,22.53846153846154,20.925,0.9653979238754326,0.1385149999987334,327,34
karate,34,34,156,5,distributed_m8_q1k,33 0 8 2 24,23.384615384615383,21.15,0.9757785467128026,0.10609339998336509,259,34
karate,34,34,156,5,distributed_m8_q2k,33 0 26 23 1,23.615384615384617,21.7,1.0011534025374855,0.10380240000085905,259,34
karate,34,34,156,5,distributed_m8_q5k,33 0 23 3 30,23.0,20.6,0.9504036908881199,0.10338030004641041,259,34
