graph,size_parameter,n_nodes,n_edges,k,algorithm,seeds,selection_estimated_spread,estimated_spread,quality_ratio_to_greedy,runtime_seconds,spread_evaluations,transmitted_candidates
watts_strogatz,200,200,1200,10,degree,171 69 148 85 126 1 132 15 47 197,44.375,44.525,1.1307936507936507,0.006284200004301965,1,0
watts_strogatz,200,200,1200,10,pagerank,181 179 165 162 58 70 196 182 178 73,29.0,30.975,0.7866666666666667,0.003745800000615418,1,0
watts_strogatz,200,200,1200,10,greedy,81 98 149 184 55 38 194 10 89 158,45.3,39.375,1.0,6.16261040000245,1956,0
watts_strogatz,200,200,1200,10,celf,132 9 77 191 126 64 149 118 157 38,43.4,41.05,1.0425396825396824,0.6197345000109635,436,0
watts_strogatz,200,200,1200,10,distributed_m2_q1k,42 73 162 35 107 149 143 163 180 116,43.23076923076923,38.0,0.9650793650793651,2.0638820999884047,2068,20
watts_strogatz,200,200,1200,10,distributed_m2_q2k,26 175 156 44 186 89 158 30 5 10,42.69230769230769,36.55,0.9282539682539682,6.4551180000416934,3978,40
watts_strogatz,200,200,1200,10,distributed_m2_q5k,171 29 66 148 112 124 192 163 9 114,48.76923076923077,39.55,1.0044444444444445,22.346052899956703,8508,100
watts_strogatz,200,200,1200,10,distributed_m4_q1k,90 153 69 33 176 47 179 194 103 19,49.0,41.45,1.0526984126984127,2.108296699996572,2180,40
watts_strogatz,200,200,1200,10,distributed_m4_q2k,69 164 171 154 94 24 142 55 67 183,48.15384615384615,40.525,1.0292063492063492,5.715953600010835,4000,80
watts_strogatz,200,200,1200,10,distributed_m4_q5k,1 133 11 63 145 62 180 174 118 53,48.07692307692308,39.225,0.9961904761904762,13.633085400040727,7060,200
watts_strogatz,200,200,1200,10,distributed_m8_q1k,19 13 147 158 35 171 110 28 71 130,47.53846153846154,39.675,1.0076190476190476,2.3762585999793373,2404,80
watts_strogatz,200,200,1200,10,distributed_m8_q2k,107 88 10 44 97 121 25 34 73 147,49.30769230769231,39.425,1.001269841269841,4.993982299987692,4044,160
watts_strogatz,200,200,1200,10,distributed_m8_q5k,37 29 84 1 132 148 18 163 88 12,48.76923076923077,41.075,1.0431746031746032,5.936497299990151,4564,200
karate,34,34,156,5,random,1 24 23 14 25,14.85,12.675,0.5553121577217963,0.001424900023266673,1,0
karate,34,34,156,5,degree,33 0 32 1 2,23.1,22.5,0.9857612267250822,0.0019816000130958855,1,0
karate,34,34,156,5,pagerank,33 32 0 1 2,22.95,22.225,0.9737130339539979,0.0019601999665610492,1,0
karate,34,34,156,5,greedy,33 0 32 2 24,23.5,22.825,1.0,0.2260715999873355,161,0
karate,34,34,156,5,celf,33 0 2 20 16,21.475,21.025,0.9211391018619934,0.12039310002001002,92,0
karate,34,34,156,5,distributed_m2_q1k,0 33 32 31 6,22.76923076923077,22.5,0.9857612267250822,0.08109089999925345,193,10
karate,34,34,156,5,distributed_m2_q2k,33 0 31 2 5,24.076923076923077,22.075,0.9671412924424972,0.17735209997044876,343,20
karate,34,34,156,5,distributed_m2_q5k,33 0 22 28 23,22.23076923076923,20.5,0.8981380065717416,0.24780029995599762,469,34
karate,34,34,156,5,distributed_m4_q1k,0 32 28 27 24,21.076923076923077,19.175,0.8400876232201534,0.08767129998886958,225,20
karate,34,34,156,5,distributed_m4_q2k,32 33 0 2 6,23.923076923076923,23.15,1.0142387732749178,0.13829030003398657,327,34
karate,34,34,156,5,distributed_m4_q5k,0 33 24 13 32,24.0,22.725,0.995618838992333,0.14145880000432953,327,34
karate,34,34,156,5,distributed_m8_q1k,33 0 2 32 5,24.0,23.5,1.0295728368017525,0.10580679995473474,259,34
karate,34,34,156,5,distributed_m8_q2k,0 33 2 20 32,22.923076923076923,21.05,0.9222343921139102,0.10591129999374971,259,34
karate,34,34,156,5,distributed_m8_q5k,33 0 32 27 16,23.923076923076923,22.225,0.9737130339539979,0.10677550005493686,259,34
